job_link,last_processed_time,got_summary,got_ner,is_being_worked,job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type
https://www.linkedin.com/jobs/view/account-executive-dispensing-norcal-northern-nevada-becton-dickinson-at-bd-3802078767,2024-01-21 07:12:29.00256+00,t,t,f,Account Executive Dispensing,BD,"San Diego, CA",1/15/2024,Coronado,United States,Color Maker,Mid senior,Onsite
https://www.linkedin.com/jobs/view/registered-nurse-rn-care-manager-at-trinity-health-mi-3803386312,2024-01-21 07:39:58.88137+00,t,t,f,Registered Nurse Care Manager,Trinity Health MI,"Norton Shores, MI",1/14/2024,Grand Haven,United States,Director Nursing Service,Mid senior,Onsite
https://www.linkedin.com/jobs/view/restaurant-supervisor-the-forklift-at-wasatch-adaptive-sports-3771464419,2024-01-21 07:40:00.251126+00,t,t,f,Reastaurant Supervisor,Wasatch Adaptive Sports,"Sandy, UT",1/14/2024,Tooele,United States,Stand-In,Mid senior,Onsite
https://www.linkedin.com/jobs/view/independent-real-estate-agent-at-howard-hanna-rand-realty-3797661348,2024-01-21 07:40:00.308133+00,t,t,f, Real Estate Agent,Howard Hanna | Rand Realty,"Englewood Cliffs, NJ",1/16/2024,Pinehurst,United States,Real-Estate Clerk,Mid senior,Onsite
https://www.linkedin.com/jobs/view/group-unit-supervisor-systems-support-manager-tss-at-irs-office-of-chief-counsel-3803057508,2024-01-19 09:45:09.215838+00,f,f,f,Group Unit Supervisor ,"IRS, Office of Chief Counsel","Chamblee, GA",1/17/2024,Gadsden,United States,Supervisor Travel-Information Center,Mid senior,Onsite
https://www.linkedin.com/jobs/view/counselor-07532802-at-icl-3765316747,2024-01-19 09:45:09.215838+00,f,f,f,Counselor,ICL,"Brooklyn, NY",1/16/2024,Oyster Bay,United States,Residence Counselor,Mid senior,Onsite
https://www.linkedin.com/jobs/view/registered-nurse-rn-at-trinity-health-mi-3790954711,2024-01-21 08:08:19.663033+00,t,t,f,Registered Nurse ,Trinity Health MI,"Muskegon, MI",1/14/2024,Muskegon,United States,Nurse Practitioner,Mid senior,Onsite
https://www.linkedin.com/jobs/view/part-time-hr-generalist-at-creative-financial-staffing-cfs-3798316459,2024-01-21 08:08:19.912883+00,t,t,f,HR Generalist,Creative Financial Staffing (CFS),"New York, NY",1/16/2024,White Plains,United States,Human Resource Advisor,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/store-manager-at-b-m-retail-3800482794,2024-01-21 08:08:20.658147+00,t,t,f,Store Manager,B&M Retail,"London, England, United Kingdom",1/15/2024,Slough,United Kingdom,Double,Mid senior,Onsite
https://ca.linkedin.com/jobs/view/engineering-project-coordinator-at-shared-health-soins-communs-3767503688,2024-01-21 08:08:20.998834+00,t,t,f,Engineering Project Coordinator,Shared Health-Soins Communs,"Winnipeg, Manitoba, Canada",1/14/2024,Manitoba,Canada,Program Coordinator,Mid senior,Onsite
